id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1894,Great Expectations,UK,258656.0,Drama,2012,Toby Irvine,128,R,Rotten,37,35,47520.0,7,13,22
3685,Descent,USA,13361.0,Drama,2007,Rosario Dawson,104,R,Rotten,35,34,4236.0,14,12,22
1188,Baby's Day Out,USA,16671505.0,Adventure,1994,Lara Flynn Boyle,99,PG,Rotten,20,15,186210.0,4,3,12
4196,How Do You Know,USA,30212620.0,Comedy,2010,Reese Witherspoon,100,PG-13,Rotten,32,149,41917.0,45,47,102
4837,Charlie Countryman,USA,7973.0,Comedy,2013,Shia LaBeouf,103,R,Rotten,27,66,4957.0,20,18,48
2771,Underworld,USA,51970690.0,Action,2003,Kate Beckinsale,121,R,Rotten,31,161,495821.0,38,50,111
570,Die Hard 2,USA,117540947.0,Action,1990,Bruce Willis,124,R,Fresh,68,63,414701.0,17,43,20
1187,Texas Chainsaw Massacre: The Next Generation,USA,141626.0,Comedy,1994,Renée Zellweger,95,R,Rotten,14,35,31053.0,5,5,30
2675,The Four Feathers,UK,18306166.0,Adventure,2002,Heath Ledger,132,NR,Fresh,100,9,2885.0,0,9,0
2758,Pirates of the Caribbean: The Curse of the Black Pearl,USA,305413918.0,Action,2003,Johnny Depp,143,PG-13,Certified Fresh,79,217,33125722.0,45,172,45
912,Radio Flyer,USA,4651977.0,Drama,1992,Lorraine Bracco,114,PG-13,Rotten,33,39,15608.0,13,13,26
3561,I Now Pronounce You Chuck & Larry,USA,120059556.0,Comedy,2007,Adam Sandler,115,PG-13,Rotten,14,157,1307555.0,44,22,135
2134,True Crime,USA,16635339.0,Crime,1999,Clint Eastwood,127,R,Rotten,0,5,2542.0,0,0,5
4547,House at the End of the Street,Canada,31611916.0,Drama,2012,Jennifer Lawrence,101,PG-13,Rotten,12,65,57323.0,14,8,57
